01|20230609_144528
02|||||||1000072||||||||||INACTIVE|ASP|AIS by Partner|ASP_SHOP|ASP Shop|GOLD|Gold|Y||02/06/2023 00:00:00|07/06/2023 00:00:00||||1100007172|N|||N|||N|||N|||N|||N|||N|||Y|14:00|22:00|||||||||||||||||||||||||||||077101233|||
02|||||||1000126||||||||||ACTIVE|ARS|ARS|NON_TELECOM|Non Telecom|||Y||05/07/2018 00:00:00||||||Y|10:00|21:00|Y|10:00|21:00|Y|10:00|21:00|Y|10:00|21:00|Y|10:00|21:00|N|||N|||N|||||||||||||||||||||||||||||||0850837833|||
02|||||||1000144||||||||||ACTIVE|TELEWIZ|Telewiz|TELEWIZ_PLUS_SHOP|Telewiz Plus Shop|BRONZE|Bronze|N||05/07/2018 00:00:00|||||1100007243|N|||N|||N|||N|||N|||N|||N|||N||||||||||NULL |||||||||||NULL||||||||||089001234|sopida291133@gmail.com||
02|||||||1000145||||||||||ACTIVE|SSP|SSP|||||N||05/07/2018 00:00:00|||||1100007150||||||||||||||||||||||||||||||||||||||||||||||||||||||||
02|||||||1000149||||||||¥’æ“√Ï∑‡¡π∑Ï 1|department 1|ACTIVE|ADP|ADP|ADP|ADP|BASIC|Basic|N||03/06/1478 00:00:00|||||1100007144|Y|00:00|00:03|Y|00:00|00:03|N|||N|||Y|00:00|00:03|N|||N|||N|||||||||||||||||||||||||||||||08110021415|||
02|||||||1000328|415|µ÷°§Õ¡|Tuk com|™≈∫ÿ√’|Chonburi|‡Õ‰Õ‡Õ  ‡∑‡≈«‘´™ÁÕª  “¢“µ÷°§Õ¡ ™≈∫ÿ√’|AIS Telewiz Tuk Com Chonburi|||INACTIVE|DEALER|Dealer|||BASIC|Basic|N||23/08/2021 00:00:00|23/08/2021 00:00:00||||1100007239|Y|09:00|20:00|Y|09:00|20:00|Y|09:00|20:00|Y|09:00|20:00|Y|09:00|20:00|Y|09:00|20:00|Y|09:00|20:00|N|||3,6,1|‡§∑’´’,¬Ÿ‚Õ∫’,°√ÿß‡∑æ|KTC,UOB,BBL|||||||||||||||||||||||||||||
02|||||||1001232||||||||||ACTIVE|AISBUDDY|AIS BUDDY|AISBUDDY|AIS Buddy|BRONZE|Bronze|Y||27/06/2019 00:00:00||||||N|||N|||N|||N|||N|||N|||N|||N|||||||||||||||||||||||||||||||0987654321|||
02|||||||1001533||||||||||ACTIVE|DEALER|Dealer|SHOP_IN_SHOP|Shop in Shop|PLATINUM|Platinum|Y||22/04/2020 01:09:28|||||1100007139|N|||N|||N|||N|||N|||N|||N|||N||||||||||||||||||||||||||||||||||
02|||||||1001536||||||||||ACTIVE|RETAILCHAIN|Retail Chain|||SILVER|Silver|Y||18/08/2019 00:00:00|||||1100007147|N|||N|||N|||N|||N|||N|||N|||N||||||||||||||||||||||||||||||||||
02|||||||1001537||||||||||ACTIVE|ITRETAIL|IT Retail|||SILVER|Silver|Y||18/08/2019 00:00:00||||||Y|09:00|20:00|Y|09:00|20:00|Y|09:00|20:00|Y|09:00|20:00|Y|09:00|20:00|Y|09:00|20:00|Y|09:00|20:00|Y|09:00|20:00|||||||||||||||||||||||||||||0521810451|||
